# Rank Energy Delta
2 -1.738742e-01 1.071966e+00
3 -2.661341e-01 9.797060e-01
4 -3.514734e-01 8.943667e-01
5 -4.487557e-01 7.970844e-01
7 -6.482504e-01 5.975897e-01
11 -9.379008e-01 3.079393e-01
15 -1.102923e+00 1.429170e-01
22 -1.230405e+00 1.543494e-02
31 -1.240365e+00 5.474779e-03
44 -1.244203e+00 1.637599e-03
63 -1.245797e+00 4.312689e-05
89 -1.245837e+00 3.376133e-06
127 -1.245840e+00 -6.427179e-10
182 -1.245840e+00 2.511853e-10
