1.0	-10.6139665519
1.25	-10.08502061415
1.5	-9.577936331174
1.75	-9.092928508778
2.0	-8.630163144786
2.25	-8.189716160299
2.5	-7.771533537335
2.75	-7.375399684324
3.0	-7.00092038991
3.25	-6.647523766267
3.5	-6.314478172008
3.75	-6.000922358995
4.0	-5.705901437677
4.25	-5.428402848709
4.5	-5.16738837606
4.75	-4.921820285234
5.0	-4.690681216469
5.25	-4.472988411315
5.5	-4.267803221186
5.75	-4.074236920862
6.0	-3.891453743522
6.25	-3.718671892475
6.5	-3.555163104897
6.75	-3.400251222338
7.0	-3.253310093752
7.25	-3.11376105403
7.5	-2.981070162547
7.75	-2.854745324321
8.0	-2.73433339622
8.25	-2.619417338087
8.5	-2.509613461068
8.75	-2.404568799707
9.0	-2.303958630828
9.25	-2.20748414768
9.5	-2.114870294152
9.75	-2.025863758022
10.0	-1.940231122046
10.25	-1.857757161534
10.5	-1.778243285195
10.75	-1.701506109557
11.0	-1.627376155554
11.25	-1.555696662103
11.5	-1.486322502984
11.75	-1.419119202789
12.0	-1.353962040762
12.25	-1.290735235728
12.5	-1.229331204763
12.75	-1.169649888637
13.0	-1.111598138937
13.25	-1.055089159146
13.5	-1.000041996465
13.75	-0.946381078858
14.0	-0.894035793007
14.25	-0.842940099304
14.5	-0.793032180766
14.75	-0.744254121857
