0.8000	-106.766308040453
0.9000	-107.293075859893
1.0000	-107.549301027408
1.1000	-107.654122503792
1.2000	-107.677339798089
1.3000	-107.659369710216
1.4000	-107.623174220994
1.5000	-107.581634963507
1.6000	-107.542085806486
1.7000	-107.508728767944
1.8000	-107.483457391508
1.9000	-107.466112896041
2.0000	-107.455155626077
2.1000	-107.448632540251
2.2000	-107.444857379899
2.3000	-107.442645370178
2.4000	-107.44127436761
2.5000	-107.440406308996
2.6000	-107.439685071125
2.7000	-107.439291324185
2.8000	-107.438873265175
2.9000	-107.438624390858
3.0000	-107.438442690561
3.1000	-107.438315880833
3.2000	-107.438222183794
3.3000	-107.438158821796
3.4000	-107.438115370277
