# Rank Energy Delta
2 -1.228248e-01 2.110282e-01
2 -1.228248e-01 2.110282e-01
3 -1.890662e-01 1.447867e-01
5 -2.792816e-01 5.457130e-02
7 -3.205980e-01 1.325493e-02
10 -3.338338e-01 1.919382e-05
14 -3.338529e-01 3.073319e-12
20 -3.338529e-01 8.901768e-13
29 -3.338529e-01 1.921796e-13
42 -3.338529e-01 3.386180e-15
