# U |t2|
1.000000000000000000e+00 1.953542194032185653e-01
1.473684210526315708e+00 2.928451407484897184e-01
1.947368421052631415e+00 3.965185478816468101e-01
2.421052631578947345e+00 5.097143281541972604e-01
2.894736842105262831e+00 6.382273477292979003e-01
3.368421052631578760e+00 7.936771926818159129e-01
3.842105263157894690e+00 1.003634664139936294e+00
4.315789473684210620e+00 1.356941902791358068e+00
4.789473684210525661e+00 2.545251858999169947e+00
5.263157894736841591e+00 6.044667371351601481e+00
5.736842105263157521e+00 7.812246352829299134e+00
6.210526315789473450e+00 8.779050507972945283e+00
6.684210526315789380e+00 1.029756412375909136e+01
7.157894736842105310e+00 1.121263085631469814e+01
7.631578947368420351e+00 1.168531498607256935e+01
8.105263157894736281e+00 1.250415332801799551e+01
8.578947368421051323e+00 1.307336200080541389e+01
9.052631578947368141e+00 1.353811291562673524e+01
9.526315789473683182e+00 1.396714630059696560e+01
1.000000000000000000e+01 1.433395780587912505e+01
