# U R=5 R=7 R=8 R=10 R=12 R=20 R=25 R=40
1.000000000000000000e+00 1.573462352800998332e-01 1.761893698597364888e-01 1.841344421989457025e-01 2.115897707710037712e-01 2.085899636501197252e-01 1.991161230873605137e-01 1.969091130866697792e-01 1.956212087959150470e-01
1.473684210526315708e+00 2.387350886918073734e-01 2.681106848573267531e-01 2.892265805667043610e-01 3.200858645917771805e-01 3.276436053008170424e-01 3.091005177318641439e-01 3.023429036202990861e-01 2.975984991127321178e-01
1.947368421052631415e+00 3.277615798219595811e-01 3.617055830463705712e-01 3.845954755010978499e-01 4.461485058425573857e-01 4.548133887772066730e-01 4.334971941016384500e-01 4.122428921495896459e-01 4.088956140384450988e-01
2.421052631578947345e+00 4.259615204676142630e-01 4.792271516309153379e-01 5.456875322971708187e-01 5.853364558759651670e-01 5.895766726213534925e-01 5.734969101161974114e-01 5.393644973980334933e-01 5.288178103176548461e-01
2.894736842105262831e+00 5.333877500666003302e-01 6.026142826001887887e-01 6.660154390970497440e-01 7.216193744564308732e-01 7.957292407053364602e-01 7.406271236033933336e-01 6.889702805941712027e-01 6.616300680751798780e-01
3.368421052631578760e+00 6.481849459655867340e-01 7.327562272327775572e-01 7.924511626473850212e-01 8.698732601013752230e-01 9.670777651269653052e-01 9.602261786269147281e-01 8.582515087569156931e-01 8.261082448594414540e-01
3.842105263157894690e+00 7.669712941772661718e-01 8.833792631432101361e-01 9.256218465042154175e-01 1.097189434702665611e+00 1.203480192721693376e+00 1.311396842612449154e+00 1.116427318130821522e+00 1.049464200374840228e+00
4.315789473684210620e+00 8.859878224701696059e-01 1.054948675535865910e+00 1.070027180352828511e+00 1.177259819948512032e+00 1.426221278749658206e+00 1.952499966537211806e+00 1.526907891994466526e+00 1.444258862767149543e+00
4.789473684210525661e+00 1.159529382952287691e+00 1.232444967117645618e+00 1.226263458724242472e+00 1.346034814788653389e+00 1.707828303006325932e+00 4.379846228159820498e+00 3.046628215015091623e+00 2.662089651596664108e+00
5.263157894736841591e+00 1.338673690023707730e+00 1.414874626553132675e+00 1.330336326907252564e+00 1.557037219325659416e+00 2.025818343327977722e+00 1.320472404321441928e+01 7.392192535560607958e+00 6.376224180407345621e+00
5.736842105263157521e+00 1.485682912961555635e+00 1.515561107458636148e+00 1.532470292395530675e+00 1.671043481024319100e+00 2.867303207145036392e+00 1.532397105999341136e+01 1.047312530134496633e+01 8.762782483968647895e+00
6.210526315789473450e+00 1.621815439079678400e+00 1.665635558046288045e+00 1.673411238727927408e+00 1.874312779070575141e+00 3.560669466437764275e+00 2.112854768788734106e+01 1.324846649004066279e+01 1.056266497137597860e+01
6.684210526315789380e+00 1.755115691806889977e+00 1.806524062897300498e+00 1.819506891536107451e+00 2.214281048011582431e+00 1.905600521460881680e+01 3.599837428453450627e+01 1.464589271040806828e+01 nan
7.157894736842105310e+00 1.877687451761417048e+00 1.945928985596852900e+00 1.937586591346469822e+00 2.395742237419686393e+00 1.998748049740472155e+01 4.507900594464520339e+01 1.645556845035264715e+01 nan
7.631578947368420351e+00 1.992737050453686098e+00 1.980787764931550843e+00 2.224978414781306757e+00 2.783431434030310125e+00 2.033319182213995902e+01 4.540943010178790473e+01 1.724259435761732462e+01 nan
8.105263157894736281e+00 2.016494590276778798e+00 2.093386384112181364e+00 2.308455997406962723e+00 3.137584563913052627e+00 2.791384166463559069e+01 nan                      1.877081485101506786e+01 nan
8.578947368421051323e+00 2.108453146146507695e+00 2.291647567406783992e+00 2.462929013150578328e+00 3.422189235034794663e+00 2.976536690893903625e+01 nan                      2.008845540699737597e+01 nan
9.052631578947368141e+00 2.296888483820788363e+00 2.626878465357497472e+00 2.648508614080422596e+00 4.242149869123156947e+00 3.970032845092566731e+01 nan                      2.071708994981684882e+01 nan
9.526315789473683182e+00 2.376275325043931463e+00 2.728799829858213233e+00 3.059330243508554315e+00 4.025269046653498606e+00 5.076699182927105625e+01 nan                      2.078449669721206661e+01 nan
1.000000000000000000e+01 2.455740059642648188e+00 2.822335315352202390e+00 3.055154643022531147e+00 4.498372339864793013e+00 5.677899306477356589e+01 nan                      2.100719330391443407e+01 nan
