# U lam_1 lam_2 lam_3 lam_4 lam_5 lam_6 lam_7 lam_8 lam_9 lam_10 lam_11 lam_12 lam_13 lam_14 lam_15 lam_16 lam_17 lam_18 lam_19 lam_20 lam_21 lam_22 lam_23 lam_24 lam_25
5.736842105263157521e+00 2.032858448068545876e+00 2.211080360482919893e+00 2.493351649648035462e+00 2.581218882732475794e+00 2.583499953960292306e+00 2.923574917412010699e+00 2.938591377467946408e+00 3.246576471600221225e+00 3.276495216693843027e+00 3.355772376762582887e+00 3.423001090273280145e+00 3.483646408863284361e+00 3.552146366204398387e+00 3.612834462148894588e+00 3.660996507447147330e+00 3.756369783404763130e+00 3.929201543767183669e+00 4.026987622593992455e+00 4.305773160566757518e+00 4.332964409617230395e+00 4.494766987342953435e+00 4.961534566098607435e+00 5.178051017073344475e+00 5.287768409588804452e+00 6.187021579464432541e+00
6.210526315789473450e+00 2.927661249996040826e+00 3.057247221567720885e+00 3.121796839248788924e+00 3.169557683151965399e+00 3.226143071363289039e+00 3.382187059312648181e+00 3.647222150770084159e+00 3.803678785232166071e+00 3.816597204947888233e+00 3.858681996557166816e+00 4.131852540286653941e+00 4.350724917989209573e+00 4.429422133250724869e+00 4.431559584519367156e+00 4.730560009211037809e+00 4.811533353382493772e+00 5.452844291478927019e+00 5.745323541353984709e+00 6.445800666525078881e+00 6.484257090410703306e+00 6.904876906667931635e+00 6.974657970967595766e+00 8.723035726274403601e+00 9.377356990935542314e+00 9.713569239347140893e+00
6.684210526315789380e+00 3.377709766869501973e+00 3.476095328644475568e+00 3.578085465668291665e+00 3.807955552041337288e+00 4.003152352385341395e+00 4.143845960445863952e+00 4.214115236780667573e+00 4.302641548265207838e+00 4.410932895767610162e+00 4.700663290752140178e+00 4.737210000542245503e+00 4.762063168081550835e+00 4.956517589801345380e+00 5.005614290344651884e+00 5.158925201041911990e+00 5.165622911096465764e+00 5.233594599489086008e+00 5.822579106827068252e+00 6.651351533017484385e+00 6.713992585042355188e+00 7.206642462951839079e+00 7.321420768929985279e+00 7.667762278088684269e+00 8.353564710174548935e+00 8.950855937756447389e+00
7.157894736842105310e+00 2.894538878552572747e+00 3.136208789045244583e+00 3.219273181380469584e+00 3.843279709099900021e+00 4.329071664969752042e+00 4.643689718417876477e+00 4.896612258482199387e+00 5.305324120013699130e+00 5.339242878538018822e+00 5.519447871418605267e+00 5.620884392188288281e+00 5.895260744471173098e+00 6.399609895331726861e+00 6.400595538993772315e+00 7.074478758444930904e+00 7.414397632484650558e+00 7.896870188665173984e+00 8.201548161782099555e+00 8.333241886861102898e+00 8.435857134286765202e+00 8.539392252041622555e+00 8.559130362570288142e+00 8.770128890099790908e+00 1.005912488165340157e+01 1.218719759992740848e+01
7.631578947368420351e+00 3.590431101288713567e+00 3.647688104618789673e+00 4.218894712708201489e+00 4.404570411889999981e+00 4.476158025535012186e+00 4.549273109042177410e+00 4.565193062268695812e+00 4.627858670800616636e+00 4.724168813856989502e+00 4.829692305236809702e+00 5.233679086462985630e+00 5.239479736430787682e+00 5.590898628277407134e+00 5.672544368729810493e+00 6.257601263787187840e+00 6.481069134525784925e+00 6.493640194482453332e+00 6.809317085005571535e+00 6.893863141761309876e+00 6.929548347858503377e+00 6.972963626318164465e+00 7.375730828306494402e+00 7.438885487245884498e+00 7.532951436100537634e+00 1.052083231370723304e+01
8.105263157894736281e+00 3.600781364125437367e+00 4.464767592262097295e+00 5.014857614660692242e+00 5.119249094068384132e+00 5.360483601687014321e+00 5.407921550394519272e+00 5.463662542871595029e+00 5.728765325310790857e+00 5.896179851445666920e+00 5.984142987463627605e+00 6.221870151874377086e+00 6.287999673748109863e+00 6.306683085672608158e+00 6.644150686508478287e+00 7.216013931972476314e+00 7.263411840215524329e+00 8.067975300706827113e+00 9.342379163075298365e+00 1.011773364143279075e+01 1.064814988638570981e+01 1.211031641259523717e+01 1.503147457932432829e+01 1.642270467191966787e+01 1.755316640612583967e+01 2.238470056194475077e+01
8.578947368421051323e+00 4.832779488073041918e+00 4.873333934073844631e+00 5.581706736967857907e+00 5.848287426218031548e+00 5.986578998231236959e+00 6.413197608787938542e+00 6.427931359567936376e+00 6.517875936674073500e+00 7.456113895037423056e+00 7.536465416087826164e+00 7.704096283893553831e+00 7.963992975895058279e+00 8.089905259265005810e+00 8.260532868381826432e+00 8.444108993073170311e+00 9.756901978042762380e+00 1.009392456295435991e+01 1.060169427422385446e+01 1.079155848096436543e+01 1.169452995157842601e+01 1.262025975823983082e+01 1.271355949393193896e+01 1.846770982540262551e+01 1.847388335070424503e+01 1.893468245052084598e+01
9.052631578947368141e+00 2.853589525485136225e+00 4.425545201379210702e+00 4.984147792885117667e+00 4.993807513729665359e+00 5.101820723636222077e+00 5.234107241201990668e+00 5.740865549977071325e+00 5.844702733407006967e+00 6.272765888334586926e+00 6.500058191348436765e+00 6.629231292916779594e+00 6.835080101239188188e+00 7.194953211718869923e+00 7.328764592101898678e+00 7.916331320268490401e+00 7.945358578116093362e+00 8.356236020337519221e+00 8.384187745747842868e+00 8.468925324727816673e+00 9.282848553354074994e+00 9.399781179740516635e+00 1.202985447420846477e+01 1.310654363839691783e+01 1.588209159326727082e+01 1.668341649235602020e+01
9.526315789473683182e+00 3.575746430450097879e+00 3.681448595097056575e+00 4.061086399907599898e+00 4.305496151152095052e+00 4.476805228815532445e+00 4.571461825171817317e+00 4.600610049267397805e+00 5.274234186288532023e+00 5.292696171689702744e+00 5.563621566190820822e+00 5.675640371847200605e+00 5.730607845445014448e+00 5.785589933333429080e+00 5.979990798066279645e+00 6.077213687014064725e+00 6.101030156892855771e+00 6.131863202304005611e+00 6.781102927137466985e+00 7.344471021151649737e+00 7.622497452767838411e+00 7.939183231735352564e+00 8.899515979278950439e+00 9.158199201638753451e+00 9.868736004160545860e+00 1.026617068457241011e+01
1.000000000000000000e+01 3.472041465043477881e+00 3.848993411178016189e+00 4.457219142263059375e+00 4.498023303740292356e+00 4.624504546750247691e+00 4.837966917426093971e+00 5.020736209854664622e+00 5.048475868506285380e+00 5.249416865148672784e+00 5.358699777897893313e+00 5.361626353852693150e+00 5.520869787843609267e+00 5.591976767042283747e+00 5.796350648516455983e+00 5.850776768410169915e+00 5.857999384573187918e+00 5.882227491410277231e+00 5.910095461954712803e+00 5.936010477888490122e+00 6.961065696045715789e+00 7.000670525983905712e+00 7.315733971317758488e+00 8.385253881812031906e+00 1.034184006042687720e+01 1.095542005144250552e+01
