# U R=5 R=8 R=10 R=11 R=12
1.000000000000000000e+00 -1.055575339285833003e+01 -1.060563178491191572e+01 -1.061360513180349763e+01 -1.061384665378827030e+01 -1.061390882284890935e+01
1.473684210526315708e+00 -9.507976281163996291e+00 -9.606861023871207550e+00 -9.629008068202269399e+00 -9.629830919062676742e+00 -9.630189520793804192e+00
1.947368421052631415e+00 -8.522552022636791236e+00 -8.665311379506638545e+00 -8.722680286308314379e+00 -8.724814197288806028e+00 -8.726595835343148977e+00
2.421052631578947345e+00 -7.607901621648823998e+00 -7.798061596973191456e+00 -7.897021978246476337e+00 -7.902670760556581797e+00 -7.905073740756992429e+00
2.894736842105262831e+00 -6.773618086189229004e+00 -6.999077267757266796e+00 -7.148681849934655830e+00 -7.160845408562598102e+00 -7.172194599611406929e+00
3.368421052631578760e+00 -6.025253242478743942e+00 -6.269504706746446665e+00 -6.485220039048964935e+00 -6.508321723951483229e+00 -6.532974858029692022e+00
3.842105263157894690e+00 -5.358722248642592945e+00 -5.612576335694805074e+00 -5.890574881278077157e+00 -5.939994629436172957e+00 -5.997102477348812855e+00
4.315789473684210620e+00 -4.762233116567239577e+00 -5.040174152678352115e+00 -5.385939303987095528e+00 -5.476401576278517425e+00 -5.582067482611516418e+00
4.789473684210525661e+00 -4.221597117138562894e+00 -4.519478831296197541e+00 -4.918446731431806995e+00 -5.084268277139132763e+00 -5.318459452157468625e+00
5.263157894736841591e+00 -3.723585907829649155e+00 -4.067980996083919720e+00 -4.555532182259137031e+00 -4.807881503779983134e+00 -5.173961488378228779e+00
5.736842105263157521e+00 -3.257269443860877800e+00 -3.662760371134738513e+00 -4.271381403002275867e+00 -4.623187753687600932e+00 -5.283499673860005075e+00
6.210526315789473450e+00 -2.814090245624855768e+00 -3.351816056620585904e+00 -3.950313449108866060e+00 -4.598128558498596696e+00 -5.676112082113116131e+00
6.684210526315789380e+00 -2.387481137896020122e+00 -3.027955405880273787e+00 -3.840864561903260643e+00 -4.654681583067105777e+00 -6.545667468911034348e+00
7.157894736842105310e+00 -1.972416258415577772e+00 -2.759551794758079879e+00 -3.626051882999311360e+00 -4.788566334731507723e+00 nan
7.631578947368420351e+00 -1.565025630507538068e+00 -2.608104674198036932e+00 -3.567508318941454704e+00 -5.123765210120211577e+00 -1.166449980224591165e+01
8.105263157894736281e+00 -1.162296951306062809e+00 -2.248872588328483246e+00 -3.614733357200607955e+00 -6.978511032195385155e+00 -1.833358170721414382e+01
8.578947368421051323e+00 -7.618541978695212435e-01 -1.997380443138675687e+00 -3.806206233712691400e+00 -9.010895620358940761e+00 nan
9.052631578947368141e+00 -3.685687042081617903e-01 -2.055660923793899642e+00 -3.802106357395420133e+00 -8.202404419020599136e+00 -1.799547435920006677e+01
9.526315789473683182e+00 1.269017933847393920e-02 -1.737449057042381284e+00 -4.160741650429663707e+00 -7.420806614831057857e+00 nan
1.000000000000000000e+01 3.911850808148713554e-01 -1.738591514823101036e+00 -4.054863121151157657e+00 -1.133657985127052470e+01 nan
