# U R=5 R=7 R=8 R=10 R=20 R=25 R=40
1.000000000000000000e+00 5.097635984473074533e-01 2.578925630244008893e-01 1.425487897954363647e-01 4.594413861038988689e-02 5.589142024860394194e-03 3.705462538574973760e-03 1.439012689382947359e-03
1.473684210526315708e+00 7.188524366854668335e-01 3.981230484415584914e-01 2.325458408588215453e-01 8.972355784791016808e-02 7.694836320691163765e-03 3.979744376300979429e-03 9.199795908808550094e-05
1.947368421052631415e+00 8.970883499792762228e-01 6.042118388787076633e-01 3.536457028067633845e-01 1.606782611612123657e-01 1.191475923075567891e-02 3.221860327257534875e-03 1.665512286797106748e-03
2.421052631578947345e+00 1.045500866128808770e+00 8.248958494454523560e-01 6.735620628648379959e-01 2.443690432899815190e-01 9.969532328086460476e-03 5.899199260880001565e-03 4.289005219442098746e-04
2.894736842105262831e+00 1.173607591396827576e+00 1.015035534490350999e+00 8.504654521399191980e-01 3.941748538428815896e-01 2.726953785160124433e-02 7.589599381649698648e-03 4.207637267249648701e-04
3.368421052631578760e+00 1.297451833478531880e+00 1.213444559694093705e+00 1.067374839254754848e+00 5.689258304250005560e-01 2.529392606720282446e-02 1.691101629627661876e-02 1.338461313083291109e-04
3.842105263157894690e+00 1.434162011887106569e+00 1.418525647017554681e+00 1.287680528906159250e+00 7.841037769216070430e-01 3.528497102528837387e-02 2.107312099583742802e-03 7.890289973402030404e-05
4.315789473684210620e+00 1.596439138613797271e+00 1.722946116078171608e+00 1.551151997923218007e+00 1.065179367944652622e+00 5.360370645942676149e-02 2.941336324472419370e-02 6.287205753371954754e-06
4.789473684210525661e+00 2.259151004702719234e+00 1.989007218922625775e+00 1.918004863303112151e+00 1.430943538146874916e+00 2.139013672878682937e-01 2.573198747513525536e-03 1.315137705803725578e-07
5.263157894736841591e+00 2.837289065118216325e+00 2.474704118125778507e+00 2.267361554814623315e+00 1.766214840395763153e+00 6.738292617046900412e-01 9.176926004918865300e-05 7.283485856710315010e-07
5.736842105263157521e+00 3.377768260550050528e+00 2.955788902176581967e+00 2.720224253267796488e+00 2.346717270253778409e+00 9.667392027236857421e-01 9.797856241396302179e-02 2.870744694380614278e-06
6.210526315789473450e+00 3.982887038603630359e+00 3.500337052017475248e+00 3.186154945220172952e+00 2.738898321275559766e+00 7.031721403065152032e+00 1.248373227185138698e-04 1.229580931026913431e-06
6.684210526315789380e+00 4.647178481015539653e+00 4.100025573101074627e+00 3.693463585771875834e+00 3.464450888419210894e+00 5.338426734648287209e+00 3.387004077108407563e-02 nan
7.157894736842105310e+00 5.365689920470711805e+00 4.740962795721798351e+00 4.393461427425140897e+00 4.288445094919258516e+00 1.495704182257272308e+01 1.333217788373377958e-04 nan
7.631578947368420351e+00 6.134212942251821232e+00 5.035950435037093165e+00 4.881700538836001968e+00 5.227597288043471124e+00 1.085188198332738274e+01 1.636664799461417241e-01 nan
8.105263157894736281e+00 6.034873244035813045e+00 5.690305286575282118e+00 5.759000892582294640e+00 6.383658863269427108e+00 nan                      2.931316525395465090e-04 nan
8.578947368421051323e+00 6.724897901187978810e+00 6.817722898787140551e+00 6.599807738372310162e+00 7.497939515838859315e+00 nan                      7.640423032775885224e-04 nan
9.052631578947368141e+00 8.674209843129260022e+00 7.614197349838760509e+00 7.161474092493579136e+00 8.371013937707440178e+00 nan                      1.677030891515661785e-03 nan
9.526315789473683182e+00 9.522029096236744650e+00 8.418079839706159362e+00 8.274575856289175135e+00 8.985514395987683756e+00 nan                      1.535293245192061390e-03 nan
1.000000000000000000e+01 1.039216642249827949e+01 9.248368035509432872e+00 8.968828528706442427e+00 1.511386708239209398e+01 nan                      3.327580204900572433e-04 nan
