# Rank Energy Delta
2 -1.502243e-01 4.685794e-01
3 -2.315753e-01 3.872284e-01
4 -3.171130e-01 3.016907e-01
6 -5.038818e-01 1.149219e-01
10 -5.882583e-01 3.054537e-02
15 -6.182343e-01 5.694010e-04
23 -6.187084e-01 9.531338e-05
36 -6.188031e-01 5.940625e-07
56 -6.188037e-01 -1.094924e-11
88 -6.188037e-01 -8.186674e-12
