# Rank Energy Delta
1 -9.255839e-02 3.163975e-01
2 -1.881805e-01 2.207754e-01
2 -1.881805e-01 2.207754e-01
3 -2.872063e-01 1.217496e-01
3 -2.872063e-01 1.217496e-01
4 -3.542428e-01 5.471312e-02
5 -4.069592e-01 1.996666e-03
7 -4.089559e-01 3.698597e-12
8 -4.089559e-01 -2.818801e-12
10 -4.089559e-01 -2.087497e-12
13 -4.089559e-01 -7.338019e-13
16 -4.089559e-01 -1.830203e-13
20 -4.089559e-01 1.812106e-12
25 -4.089559e-01 8.615886e-13
