# U R=5 R=6 R=7 R=8 R=10 R=11 R=12
1.000000000000000000e+00 -1.055575340209514401e+01 -1.057526460849712358e+01 -1.059377090937823063e+01 -1.060563177432071313e+01 -1.061357274797554773e+01 -1.061379857977310870e+01 -1.061387471609346811e+01
2.000000000000000000e+00 -8.417275878211084361e+00 -8.465180512038434912e+00 -8.528954199978597828e+00 -8.565534745813284445e+00 -8.627013727766374984e+00 -8.629675796264820065e+00 -8.631279095211326080e+00
3.000000000000000000e+00 -6.599986874720415564e+00 -6.662169569435823391e+00 -6.730236136443565442e+00 -6.830091425608912914e+00 -6.994278355769596445e+00 -7.009013456919015894e+00 -7.021068008158396268e+00
4.000000000000000000e+00 -5.152803179660932820e+00 -5.227027277994056753e+00 -5.296197386210376834e+00 -5.411691503140616533e+00 -5.688094000998054511e+00 -5.770810327903646453e+00 -5.843251677431258173e+00
5.000000000000000000e+00 -3.995704110323776703e+00 -4.122291085016568601e+00 -4.194623903866769865e+00 -4.315218130590869450e+00 -4.759862566037001308e+00 -4.926307253388065632e+00 -5.232510267971104412e+00
6.000000000000000000e+00 -3.008662632611490473e+00 -3.260818272910071869e+00 -3.361101694072962331e+00 -3.444440323796077230e+00 -4.100192222665539177e+00 -4.612409828215961127e+00 -5.437929750685695396e+00
7.000000000000000000e+00 -2.200396646860287575e+00 -2.527244746881359916e+00 -2.386412784555117739e+00 -2.838296799669618231e+00 -3.652057924045367443e+00 -4.852290773428549642e+00 -6.260500540189672947e+00
8.000000000000000000e+00 -1.419239040519832074e+00 -1.298028756316989885e+00 -1.638903533593772721e+00 -2.332656265929873740e+00 -3.646112997271584888e+00 -6.405463680496927381e+00 nan
9.000000000000000000e+00 -6.748183806751377745e-01 -5.282058256150143905e-01 -1.322929036301149885e+00 -2.015922014319116329e+00 -3.973862434590806458e+00 -8.776458001906314976e+00 nan
1.000000000000000000e+01 3.911868651009076103e-01 -1.586294887131121101e-01 -1.006954539008527050e+00 -1.699187762708358918e+00 -4.301611871910028029e+00 nan nan
