# Rank Energy Delta
2 -1.805350e-01 5.091519e-01
2 -1.805350e-01 5.091519e-01
4 -3.713834e-01 3.183035e-01
5 -4.730012e-01 2.166857e-01
8 -6.209473e-01 6.873963e-02
12 -6.865809e-01 3.106057e-03
18 -6.896754e-01 1.158117e-05
28 -6.896869e-01 9.925059e-08
42 -6.896870e-01 1.223804e-08
63 -6.896870e-01 -8.200401e-10
