# Rank Energy Delta
2 -1.782947e-01 7.900269e-01
2 -1.782947e-01 7.900269e-01
3 -2.715329e-01 6.967887e-01
4 -3.625400e-01 6.057816e-01
6 -5.615004e-01 4.068212e-01
9 -7.502097e-01 2.181119e-01
12 -8.881186e-01 8.020303e-02
16 -9.567497e-01 1.157195e-02
23 -9.658910e-01 2.430559e-03
32 -9.681770e-01 1.445801e-04
44 -9.683120e-01 9.609859e-06
60 -9.683218e-01 -1.485512e-07
84 -9.683216e-01 -4.042029e-10
116 -9.683216e-01 -3.162148e-11
