# Rank Energy Delta
1 -9.255839e-02 3.163975e-01
2 -1.881805e-01 2.207754e-01
3 -2.872063e-01 1.217496e-01
4 -3.542428e-01 5.471312e-02
5 -4.069592e-01 1.996666e-03
7 -4.089559e-01 6.639134e-14
10 -4.089559e-01 -8.029133e-13
13 -4.089559e-01 -7.531753e-13
18 -4.089559e-01 1.665335e-16
25 -4.089559e-01 6.550316e-14
