# Rank Energy Delta
2 -1.754188e-01 7.929028e-01
3 -2.653335e-01 7.029881e-01
4 -3.592876e-01 6.090340e-01
7 -6.668932e-01 3.014284e-01
11 -8.383490e-01 1.299726e-01
18 -9.614192e-01 6.902370e-03
28 -9.672549e-01 1.066752e-03
45 -9.683073e-01 1.433994e-05
72 -9.683216e-01 4.686700e-09
116 -9.683216e-01 -1.045822e-10
